time,position,OryConc,AV,CPUTemp,SensorTemp,packet_id
06:03:27,position 2,-17214.0,nan,36.5,32.7,290
06:04:27,position 2,-17131.0,nan,36.5,32.6,291
06:05:24,position 2,-17233.0,nan,35.9,32.6,292
06:07:24,position 2,-17191.0,nan,36.5,32.8,293
06:08:24,position 2,-17286.0,nan,36.5,32.8,294
06:09:24,position 2,-17269.0,nan,37.0,32.8,295
06:10:24,position 2,-17197.0,nan,36.5,0.0,296
06:11:24,position 2,-17244.0,nan,36.5,0.0,297
06:12:24,position 2,-17319.0,nan,36.5,32.9,298
06:13:24,position 2,-17290.0,nan,36.5,32.9,299
06:14:24,position 2,-17293.0,nan,36.5,0.0,300
06:15:24,position 2,-17274.0,nan,36.5,32.9,301
06:16:24,position 2,-17285.0,nan,36.5,32.9,302
06:17:24,position 2,-17294.0,nan,36.5,32.8,303
06:18:24,position 2,-17213.0,nan,37.0,32.9,304
06:19:24,position 2,-17160.0,nan,36.5,32.9,305
06:20:24,position 2,-17129.0,nan,36.5,33.0,306
06:21:24,position 2,-17147.0,nan,36.5,33.0,307
06:23:24,position 2,-17243.0,nan,36.5,33.0,308
06:25:24,position 2,-17315.0,nan,36.5,33.0,309
06:26:24,position 2,-17304.0,nan,36.5,0.0,310
06:28:24,position 2,-17248.0,nan,36.5,32.9,311
06:29:24,position 2,-17305.0,nan,36.5,32.8,312
06:30:24,position 2,-17305.0,nan,36.5,32.8,313
06:31:24,position 2,-17293.0,nan,36.5,32.8,314
06:32:24,position 2,-17244.0,nan,36.5,32.8,315
06:33:24,position 2,-17262.0,nan,36.5,32.8,316
06:35:24,position 2,-17246.0,nan,36.5,32.8,317
06:36:24,position 2,-17211.0,nan,36.5,0.0,318
06:38:24,position 2,-17178.0,nan,35.9,32.6,319
06:39:24,position 2,-17185.0,nan,36.5,32.6,320
06:41:27,position 2,-17215.0,nan,35.9,32.6,321
06:42:24,position 2,-17257.0,nan,36.5,32.6,322
06:43:24,position 2,-17230.0,nan,35.9,32.6,323
06:44:24,position 2,-17190.0,nan,35.9,32.6,324
06:45:24,position 2,-17176.0,nan,35.9,32.6,325
06:48:24,position 2,-17153.0,nan,36.5,32.7,326
06:49:24,position 2,-17216.0,nan,36.5,0.0,327
06:50:24,position 2,-17207.0,nan,36.5,32.8,328
06:51:24,position 2,-17226.0,nan,37.0,32.9,329
06:52:24,position 2,-17217.0,nan,36.5,33.0,330
06:53:27,position 2,-17182.0,nan,37.0,0.0,331
06:55:24,position 2,-17185.0,nan,37.5,33.2,332
06:57:24,position 2,-17196.0,nan,36.5,33.2,333
06:59:24,position 2,-17243.0,nan,36.5,33.1,334
07:00:24,position 2,-17249.0,nan,36.5,0.0,335
07:01:27,position 2,-17196.0,nan,36.5,33.1,336
07:02:24,position 2,-17189.0,nan,36.5,33.1,337
07:03:27,position 2,-17235.0,nan,37.0,33.1,338
07:04:24,position 2,-17245.0,nan,36.48,0.0,339
07:05:24,position 2,-17253.0,nan,36.48,33.03,340
07:06:24,position 2,-17252.0,nan,36.48,32.98,341
07:07:24,position 2,-17230.0,nan,36.48,32.95,342
07:08:24,position 2,-17289.0,nan,36.48,32.92,343
07:09:27,position 2,-17264.0,nan,36.48,32.87,344
07:10:24,position 2,-17264.0,nan,36.48,32.85,345
07:04:57,position 3,7875.0,,33.25,26.53,316
07:05:54,position 3,9150.0,,34.32,26.54,317
07:06:54,position 3,8352.0,,33.79,26.53,318
07:08:54,position 3,8843.0,,33.79,26.53,319
07:09:54,position 3,8560.0,,34.32,26.53,320
